key,value,source
Insulin signalling (global)|fasting|class,TypeIII,results/scans/*_classification.csv
Insulin signalling (global)|fasting|u_opt,0.15,results/scans/*_classification.csv
Insulin signalling (global)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Insulin signalling (global)|fasting|Lopt,0.0206976382737128,results/scans/*_classification.csv
Insulin signalling (global)|fasting|L1,0.0208929700800162,results/scans/*_classification.csv
Insulin signalling (global)|fasting|G0,,results/scans/*_classification.csv
Insulin signalling (global)|fasting|G1,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|class,TypeIII,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|u_opt,0.55,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|Lopt,0.0205288197816084,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|L1,0.020583294340447,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|G0,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|fasting|G1,,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|class,Type0,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|u_opt,0.0,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|Lopt,0.0207154554630775,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|L1,3.9041597264207177,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|G0,,results/scans/*_classification.csv
Insulin secretion (potentiation)|fasting|G1,,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|class,Type0,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|u_opt,0.0,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|Lopt,0.0207154554630775,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|L1,0.4442991555089564,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|G0,,results/scans/*_classification.csv
Glucagon secretion (potentiation)|fasting|G1,,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|class,Type0,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|u_opt,0.95,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|Lopt,0.0203144832965948,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|L1,0.0204794153094164,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|G0,,results/scans/*_classification.csv
Insulin signalling (inhibition)|fasting|G1,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|class,TypeIII,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|u_opt,0.1,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|Lopt,0.0206617816126361,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|L1,0.0208667189944172,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|G0,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|fasting|G1,,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|class,Type0,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|u_opt,0.0,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|Lopt,0.0207154554630775,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|L1,58.21511426141491,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|G0,,results/scans/*_classification.csv
Insulin secretion (impairment)|fasting|G1,,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|class,Type0,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|u_opt,0.0,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|Lopt,0.0207154554630775,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|L1,48.33858436866333,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|G0,,results/scans/*_classification.csv
Glucagon secretion (suppression)|fasting|G1,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|class,Type0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|L0,0.0207154554630775,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|Lopt,0.0207154554630775,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|L1,0.0215161182201225,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|G0,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|fasting|G1,,results/scans/*_classification.csv
Insulin signalling (hepatic)|fasting|class,TypeIII,results/scans/*_classification.csv
Insulin signalling (hepatic)|fasting|u_opt,0.95,results/scans/*_classification.csv
