state,intervention,challenge,response_class,u_opt,loss_baseline,loss_opt,loss_max,gain0,gain1
t2dm,insulin_signal_global,fasting,TypeIII,0.25,0.020598253825880146,0.020563788384008772,0.0207784794940836,,
t2dm,insulin_signal_global,ogtt,TypeI,1.0,12.190277537021027,5.879339118776073,5.879339118776073,,
t2dm,glucagon_signal_hepatic,fasting,TypeIII,0.45,0.020598253825880146,0.020460660501943444,0.020536834104750337,,
t2dm,glucagon_signal_hepatic,ogtt,TypeI,1.0,12.190277537021027,9.56740509362455,9.56740509362455,,
t2dm,insulin_secretion,fasting,Type0,0.0,0.020598253825880146,0.020598253825880146,1.2697943895254222,,
t2dm,insulin_secretion,ogtt,TypeII,0.45,12.190277537021027,7.882133741102457,8.33111570753487,4.3081437959185696,0.44898196643241306
t2dm,glucagon_secretion,fasting,Type0,0.0,0.020598253825880146,0.020598253825880146,1.019380059946486,,
t2dm,glucagon_secretion,ogtt,TypeII,0.05,12.190277537021027,10.174679284286695,12.903253646567007,2.015598252734332,2.7285743622803125
t2dm,insulin_signal_global_inhibition,fasting,TypeIII,0.9,0.020598253825880146,0.020316389738739338,0.020479415309416434,,
t2dm,insulin_signal_global_inhibition,ogtt,Type0,0.05,12.190277537021027,10.803581271028014,85.18038826723715,,
t2dm,glucagon_signal_inhibition,fasting,TypeIII,0.15,0.020598253825880146,0.02053842084608707,0.020718793443073227,,
t2dm,glucagon_signal_inhibition,ogtt,TypeII,0.1,12.190277537021027,10.399693006222982,10.824774131467882,1.7905845307980446,0.4250811252448994
t2dm,insulin_secretion_inhibition,fasting,Type0,0.0,0.020598253825880146,0.020598253825880146,5.437407069967276,,
t2dm,insulin_secretion_inhibition,ogtt,Type0,0.05,12.190277537021027,10.628259573421447,157.11492534371376,,
t2dm,glucagon_secretion_inhibition,fasting,Type0,0.0,0.020598253825880146,0.020598253825880146,226.2901593189504,,
t2dm,glucagon_secretion_inhibition,ogtt,TypeII,0.85,12.190277537021027,9.751629829893886,12.211693987675117,2.4386477071271404,2.4600641577812308
t2dm,insulin_signal_peripheral,fasting,Type0,0.0,0.020598253825880146,0.020598253825880146,0.021216561605230302,,
t2dm,insulin_signal_peripheral,ogtt,TypeI,1.0,12.190277537021027,5.470825240624732,5.470825240624732,,
t2dm,insulin_signal_hepatic,fasting,TypeIII,0.6,0.020598253825880146,0.020454999859138526,0.020514127913969442,,
t2dm,insulin_signal_hepatic,ogtt,TypeI,1.0,12.190277537021027,8.426956780661468,8.426956780661468,,
t1dm,insulin_signal_global,fasting,Type0,0.0,58.21511426141491,58.21511426141491,176.84438134363836,,
t1dm,insulin_signal_global,ogtt,Type0,0.0,217.87161890655165,217.87161890655165,269.2676932987217,,
t1dm,glucagon_signal_hepatic,fasting,Type0,0.0,58.21511426141491,58.21511426141491,84.07353842716005,,
t1dm,glucagon_signal_hepatic,ogtt,Type0,0.1,217.87161890655165,217.33496724539862,224.83958625984266,,
t1dm,insulin_secretion,fasting,TypeIII,0.0,58.21511426141491,58.21511426141491,58.21511426141491,,
t1dm,insulin_secretion,ogtt,TypeIII,0.0,217.87161890655165,217.87161890655165,217.87161890655165,,
t1dm,glucagon_secretion,fasting,Type0,0.0,58.21511426141491,58.21511426141491,108.27957238726425,,
t1dm,glucagon_secretion,ogtt,Type0,0.05,217.87161890655165,217.29093558750046,228.08301864338924,,
t1dm,insulin_signal_global_inhibition,fasting,TypeI,1.0,58.21511426141491,3.074762182852855,3.074762182852855,,
t1dm,insulin_signal_global_inhibition,ogtt,TypeI,1.0,217.87161890655165,89.60199246825613,89.60199246825613,,
t1dm,glucagon_signal_inhibition,fasting,TypeI,1.0,58.21511426141491,44.072958084412576,44.072958084412576,,
t1dm,glucagon_signal_inhibition,ogtt,TypeIII,0.9,217.87161890655165,213.76411551290792,215.20747402377506,,
t1dm,insulin_secretion_inhibition,fasting,TypeIII,0.0,58.21511426141491,58.21511426141491,58.21511426141491,,
t1dm,insulin_secretion_inhibition,ogtt,TypeIII,0.0,217.87161890655165,217.87161890655165,217.87161890655165,,
t1dm,glucagon_secretion_inhibition,fasting,TypeII,0.8,58.21511426141491,7.043879145677765,9.745276710297219,51.17123511573715,2.7013975646194535
t1dm,glucagon_secretion_inhibition,ogtt,TypeI,0.95,217.87161890655165,197.07583459225415,198.14126962817093,,
t1dm,insulin_signal_peripheral,fasting,Type0,0.0,58.21511426141491,58.21511426141491,88.19851288003807,,
t1dm,insulin_signal_peripheral,ogtt,Type0,0.0,217.87161890655165,217.87161890655165,253.9214638407238,,
t1dm,insulin_signal_hepatic,fasting,Type0,0.0,58.21511426141491,58.21511426141491,141.37888579066876,,
t1dm,insulin_signal_hepatic,ogtt,Type0,0.0,217.87161890655165,217.87161890655165,232.742966939709,,
