intervention,challenge,rel_thresh,response_class,u_opt
insulin_secretion_inhibition,ivgtt,0.01,TypeII,0.8
insulin_secretion_inhibition,ivgtt,0.02,TypeII,0.8
insulin_secretion_inhibition,ivgtt,0.05,TypeII,0.8
insulin_signal_global_inhibition,ivgtt,0.01,TypeII,0.7
insulin_signal_global_inhibition,ivgtt,0.02,TypeII,0.7
insulin_signal_global_inhibition,ivgtt,0.05,TypeII*,0.7
glucagon_secretion,ogtt,0.01,TypeII,0.85
glucagon_secretion,ogtt,0.02,TypeII,0.85
glucagon_secretion,ogtt,0.05,Type0,0.85
glucagon_signal_inhibition,ogtt,0.01,TypeII,0.1
glucagon_signal_inhibition,ogtt,0.02,TypeII,0.1
glucagon_signal_inhibition,ogtt,0.05,TypeIII,0.1
glucagon_secretion_inhibition,ogtt,0.01,TypeII,0.95
glucagon_secretion_inhibition,ogtt,0.02,TypeII,0.95
glucagon_secretion_inhibition,ogtt,0.05,TypeI,0.95
glucagon_signal_hepatic,ogtt,0.01,TypeII*,0.7
glucagon_signal_hepatic,ogtt,0.02,TypeII*,0.7
glucagon_signal_hepatic,ogtt,0.05,TypeII*,0.7
