intervention,challenge,response_class,u_opt,loss_baseline,loss_opt,loss_max,span,gain0,gain1
insulin_signal_global,fasting,TypeIII,0.0,0.02050541095314222,0.02050541095314222,0.02061542771885678,0.0001320575035906428,,
glucagon_signal_hepatic,fasting,TypeIII,0.7,0.02050541095314222,0.020432324799030118,0.02045606787832647,7.569204551612779e-05,,
insulin_secretion,fasting,Type0,0.0,0.02050541095314222,0.02050541095314222,3.555627491960169,3.5351220810070267,,
glucagon_secretion,fasting,Type0,0.0,0.02050541095314222,0.02050541095314222,2.827972300953616,2.807466890000474,,
insulin_signal_global_inhibition,fasting,TypeIII,0.95,0.02050541095314222,0.020288760322920155,0.02040203797385199,0.00022779453713218586,,
glucagon_signal_inhibition,fasting,TypeIII,0.15,0.02050541095314222,0.02049238463923538,0.02056932071915983,8.807036520198583e-05,,
insulin_secretion_inhibition,fasting,Type0,0.0,0.02050541095314222,0.02050541095314222,56.059126160114374,56.03862074916123,,
glucagon_secretion_inhibition,fasting,Type0,0.0,0.02050541095314222,0.02050541095314222,47.50540310201124,47.4848976910581,,
insulin_signal_peripheral,fasting,Type0,0.0,0.02050541095314222,0.02050541095314222,0.02097911387213136,0.0004737029189891412,,
insulin_signal_hepatic,fasting,TypeIII,0.75,0.02050541095314222,0.020389883842037014,0.020401465398620533,0.0001230292772483113,,
insulin_signal_global,ivgtt,Type0,0.0,234.4179084033877,234.4179084033877,331.13740622157366,96.71949781818594,,
glucagon_signal_hepatic,ivgtt,TypeI,1.0,234.4179084033877,198.73632314057957,198.73632314057957,35.68158526280814,,
insulin_secretion,ivgtt,Type0,0.0,234.4179084033877,234.4179084033877,396.77036565564714,162.35245725225943,,
glucagon_secretion,ivgtt,TypeI,0.9,234.4179084033877,217.09524529550595,217.15149046636986,17.322663107881766,,
insulin_signal_global_inhibition,ivgtt,TypeII,0.7,234.4179084033877,60.82815777644351,66.83883358406138,173.5897506269442,173.5897506269442,6.010675807617865
glucagon_signal_inhibition,ivgtt,Type0,0.0,234.4179084033877,234.4179084033877,281.17470530558535,46.756796902197635,,
insulin_secretion_inhibition,ivgtt,TypeII,0.85,234.4179084033877,55.96644002535868,94.84283326237902,178.45146837802903,178.45146837802903,38.87639323702034
glucagon_secretion_inhibition,ivgtt,Type0,0.0,234.4179084033877,234.4179084033877,426.9173878860547,192.499479482667,,
insulin_signal_peripheral,ivgtt,Type0,0.0,234.4179084033877,234.4179084033877,323.5675360204529,89.14962761706519,,
insulin_signal_hepatic,ivgtt,Type0,0.0,234.4179084033877,234.4179084033877,255.54284763598196,21.124939232594244,,
insulin_signal_global,ogtt,TypeI,1.0,7.488928456864608,5.046734822844248,5.046734822844248,2.4421936340203603,,
glucagon_signal_hepatic,ogtt,TypeIII,1.0,7.488928456864608,7.339715535766027,7.339715535766027,0.14921292109858086,,
insulin_secretion,ogtt,TypeI,1.0,7.488928456864608,4.394057614306288,4.394057614306288,3.0948708425583202,,
glucagon_secretion,ogtt,TypeIII,0.6,7.488928456864608,7.444292379385819,7.459160920561636,0.04463607747878928,,
insulin_signal_global_inhibition,ogtt,Type0,0.0,7.488928456864608,7.488928456864608,79.25774873914003,71.76882028227541,,
glucagon_signal_inhibition,ogtt,TypeIII,0.0,7.488928456864608,7.488928456864608,7.589064157495009,0.10013570063040067,,
insulin_secretion_inhibition,ogtt,Type0,0.0,7.488928456864608,7.488928456864608,203.68197499521193,196.19304653834732,,
glucagon_secretion_inhibition,ogtt,TypeII,0.85,7.488928456864608,6.575227227696418,6.758555723806449,0.9137012291681899,0.9137012291681899,0.18332849611003077
insulin_signal_peripheral,ogtt,TypeI,1.0,7.488928456864608,5.064743878316645,5.064743878316645,2.4241845785479628,,
insulin_signal_hepatic,ogtt,TypeI,1.0,7.488928456864608,6.910143693679313,6.910143693679313,0.5906379452883517,,
insulin_signal_global,ivitt,Type0,0.0,68.8790639783398,68.8790639783398,150.8340709723183,81.9550069939785,,
glucagon_signal_hepatic,ivitt,TypeI,1.0,68.8790639783398,56.36282951003745,56.36282951003745,12.51623446830235,,
